symbol,name,sector,industry
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Consumer Non-Durables,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,Consumer Services,Other Specialty Stores
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,Finance,Business Services
ABIO,ARCA biopharma Inc. Common Stock,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABM,ABM Industries Incorporated Common Stock,Technology,Diversified Commercial Services
ABMD,ABIOMED Inc. Common Stock,Health Care,Medical/Dental Instruments
ABNB,Airbnb Inc. Class A Common Stock,Transportation,Other Consumer Services
ABOS,Acumen Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ABR,Arbor Realty Trust Common Stock,Consumer Services,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,,
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,,
ABSI,Absci Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ABST,Absolute Software Corporation Common Stock,,
ABT,Abbott Laboratories Common Stock,Health Care,Medical/Dental Instruments
ABTX,Allegiance Bancshares Inc. Common Stock,Finance,Major Banks
ABUS,Arbutus Biopharma Corporation Common Stock,,
ABVC,ABVC BioPharma Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AC,Associated Capital Group Inc. Common Stock,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock ,Capital Goods,Engineering & Construction
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,,
ACABU,Atlantic Coastal Acquisition Corp. II Unit,,
ACABW,Atlantic Coastal Acquisition Corp. II Warrant,,
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,,
ACAHU,Atlantic Coastal Acquisition Corp. Unit,,
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,,
ACAQ,Athena Consumer Acquisition Corp. Class A Common Stock,,
ACAX,Alset Capital Acquisition Corp. Class A Common Stock,Finance,Business Services
ACAXR,Alset Capital Acquisition Corp. Right,Finance,Business Services
ACAXU,Alset Capital Acquisition Corp. Unit,Finance,Business Services
ACAXW,Alset Capital Acquisition Corp. Warrant,,
ACB,Aurora Cannabis Inc. Common Shares,,
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,Miscellaneous,Business Services
ACBAU,Ace Global Business Acquisition Limited Unit,Finance,Business Services
ACBAW,Ace Global Business Acquisition Limited Warrant,Finance,Business Services
ACC,American Campus Communities Inc Common Stock,Consumer Services,Real Estate Investment Trusts
ACCD,Accolade Inc. Common Stock,,
ACCO,Acco Brands Corporation Common Stock,Consumer Services,Advertising
ACDI,Ascendant Digital Acquisition Corp. III Class A Ordinary Shares,,
ACEL,Accel Entertainment Inc. ,Consumer Services,Recreational Products/Toys
ACER,Acer Therapeutics Inc. Common Stock (DE),Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACET,Adicet Bio Inc. Common Stock ,Health Care,Biotechnology: Pharmaceutical Preparations
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,Technology,Semiconductors
ACEVU,ACE Convergence Acquisition Corp. Unit,Technology,Semiconductors
ACEVW,ACE Convergence Acquisition Corp. Warrant,Technology,Semiconductors
ACGL,Arch Capital Group Ltd. Common Stock,Finance,Property-Casualty Insurers
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Finance,Property-Casualty Insurers
ACH,Aluminum Corporation of China Limited American Depositary Shares,Basic Industries,Aluminum
ACHC,Acadia Healthcare Company Inc. Common Stock,Health Care,Hospital/Nursing Management
ACHL,Achilles Therapeutics plc American Depositary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHR,Archer Aviation Inc. Class A Common Stock,Capital Goods,Aerospace
ACHV,Achieve Life Sciences Inc. Common Shares,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACI,Albertsons Companies Inc. Class A Common Stock,Consumer Services,Food Chains
ACII,Atlas Crest Investment Corp. II Class A Common Stock,,
ACIU,AC Immune SA Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ACIW,ACI Worldwide Inc. Common Stock,Technology,EDP Services
ACKIT,Ackrell SPAC Partners I Co. Subunits,,
ACKIU,Ackrell SPAC Partners I Co. Units,,
ACKIW,Ackrell SPAC Partners I Co. Warrants,,
ACLS,Axcelis Technologies Inc. Common Stock,Technology,Industrial Machinery/Components
ACLX,Arcellx Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ACM,AECOM Common Stock,Consumer Services,Military/Government/Technical
ACMR,ACM Research Inc. Class A Common Stock,Technology,Industrial Machinery/Components
ACN,Accenture plc Class A Ordinary Shares (Ireland),Miscellaneous,Business Services
ACNB,ACNB Corporation Common Stock,Finance,Major Banks
ACOR,Acorda Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACP,Aberdeen Income Credit Strategies Fund Common Shares,Finance,Investment Managers
ACP^A,Aberdeen Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,,
ACQR,Independence Holdings Corp. Class A Ordinary Share,Finance,Business Services
ACQRU,Independence Holdings Corp. Units,Finance,Business Services
ACQRW,Independence Holdings Corp. Warrant,Finance,Business Services
ACR,ACRES Commercial Realty Corp. Common Stock,Consumer Services,Real Estate Investment Trusts
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,,
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,,
ACRE,Ares Commercial Real Estate Corporation Common Stock,Consumer Services,Real Estate Investment Trusts
ACRO,Acropolis Infrastructure Acquisition Corp. Class A Common Stock,,
ACRS,Aclaris Therapeutics Inc. Common Stock,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,Consumer Durables,Specialty Chemicals
ACST,Acasti Pharma Inc. Class A Common Stock,,
ACT,Enact Holdings Inc. Common Stock,Finance,Specialty Insurers
ACTD,ArcLight Clean Transition Corp. II Class A Ordinary Share,,
ACTDU,ArcLight Clean Transition Corp. II Unit,,
ACTDW,ArcLight Clean Transition Corp. II Warrant,Finance,Business Services
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,Miscellaneous,Multi-Sector Companies
ACU,Acme United Corporation. Common Stock,Consumer Durables,Home Furnishings
ACV,Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,Finance,Finance/Investors Services
ACVA,ACV Auctions Inc. Class A Common Stock,Technology,EDP Services
ACXP,Acurx Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ACY,AeroCentury Corp.,,
ADAG,Adagene Inc. American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
ADAL,Anthemis Digital Acquisitions I Corp Class A Ordinary Shares,,
ADALU,Anthemis Digital Acquisitions I Corp Unit,,
ADALW,Anthemis Digital Acquisitions I Corp Warrant,,
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
ADBE,Adobe Inc. Common Stock,Technology,Computer Software: Prepackaged Software
ADC,Agree Realty Corporation Common Stock,Consumer Services,Real Estate Investment Trusts
ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,,
ADCT,ADC Therapeutics SA Common Shares,Health Care,Biotechnology: Pharmaceutical Preparations
ADER,26 Capital Acquisition Corp. Class A Common Stock,,
ADERU,26 Capital Acquisition Corp. Unit,,
ADERW,26 Capital Acquisition Corp. Warrant,,
ADES,Advanced Emissions Solutions Inc. Common Stock,Basic Industries,Industrial Specialties
ADEX,Adit EdTech Acquisition Corp. Common Stock,,
ADGI,Adagio Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ADI,Analog Devices Inc. Common Stock,Technology,Semiconductors
ADIL,Adial Pharmaceuticals Inc Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ADILW,Adial Pharmaceuticals Inc Warrant,Health Care,Biotechnology: Pharmaceutical Preparations
ADM,Archer-Daniels-Midland Company Common Stock,,
ADMA,ADMA Biologics Inc Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ADMP,Adamis Pharmaceuticals Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ADN,Advent Technologies Holdings Inc. Class A Common Stock,,
ADNT,Adient plc Ordinary Shares ,Capital Goods,Auto Parts:O.E.M.
ADNWW,Advent Technologies Holdings Inc. Warrant,,
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,Finance,Business Services
ADOCR,Edoc Acquisition Corp. Right,Finance,Business Services
ADOCW,Edoc Acquisition Corp. Warrant,Finance,Business Services
ADP,Automatic Data Processing Inc. Common Stock,Miscellaneous,Business Services
ADPT,Adaptive Biotechnologies Corporation Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADRA,Adara Acquisition Corp. Class A Common Stock,,
ADRT,Ault Disruptive Technologies Corporation Common Stock,,
ADS,Alliance Data Systems Corporation Common Stock,Miscellaneous,Business Services
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,,
ADSEW,ADS-TEC ENERGY PLC Warrant,,
ADSK,Autodesk Inc. Common Stock,Technology,Computer Software: Prepackaged Software
ADT,ADT Inc. Common Stock,Consumer Services,Diversified Commercial Services
ADTH,AdTheorent Holding Company Inc. Common Stock,Technology,Advertising
ADTHW,AdTheorent Holding Company Inc. Warrants,Technology,Advertising
ADTN,ADTRAN Inc. Common Stock,Capital Goods,Telecommunications Equipment
ADTX,Aditxt Inc. Common Stock,Consumer Durables,Specialty Chemicals
ADUS,Addus HomeCare Corporation Common Stock,Health Care,Medical/Nursing Services
ADV,Advantage Solutions Inc. Class A Common Stock,Technology,Advertising
ADVM,Adverum Biotechnologies Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ADVWW,Advantage Solutions Inc. Warrant,Technology,Advertising
ADX,Adams Diversified Equity Fund Inc.,Finance,Investment Managers
ADXN,Addex Therapeutics Ltd American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
AE,Adams Resources & Energy Inc. Common Stock,Energy,Oilfield Services/Equipment
AEAC,Authentic Equity Acquisition Corp. Class A ordinary share,Finance,Business Services
AEACU,Authentic Equity Acquisition Corp. Unit,Finance,Business Services
AEACW,Authentic Equity Acquisition Corp. Warrant,Finance,Business Services
AEAE,AltEnergy Acquisition Corp. Class A Common Stock,,
AEAEU,AltEnergy Acquisition Corp. Unit,,
AEAEW,AltEnergy Acquisition Corp. Warrant,,
AEE,Ameren Corporation Common Stock,Public Utilities,Power Generation
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,Finance,Finance/Investors Services
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,,
AEG,AEGON N.V. Common Stock,Finance,Life Insurance
AEHA,Aesther Healthcare Acquisition Corp Class A Common Stock,,
AEHAU,Aesther Healthcare Acquisition Corp Units,,
AEHAW,Aesther Healthcare Acquisition Corp Warrants,,
AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par),Capital Goods,Building Products
AEHR,Aehr Test Systems Common Stock,Capital Goods,Electrical Products
AEI,Alset EHome International Inc. Common Stock,Consumer Services,Building operators
AEIS,Advanced Energy Industries Inc. Common Stock,Consumer Durables,Electrical Products
AEL,American Equity Investment Life Holding Company Common Stock,Finance,Life Insurance
AEL^A,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A,,
AEL^B,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,,
AEM,Agnico Eagle Mines Limited Common Stock,,
AEMD,Aethlon Medical Inc. Common Stock,Miscellaneous,Diversified Commercial Services
AENZ,Aenza S.A.A. American Depositary Shares,Capital Goods,Engineering & Construction
AEO,American Eagle Outfitters Inc. Common Stock,Consumer Services,Clothing/Shoe/Accessory Stores
AEP,American Electric Power Company Inc. Common Stock,Public Utilities,Electric Utilities: Central
AEPPZ,American Electric Power Company Inc. Corporate Units,Public Utilities,Electric Utilities: Central
AER,AerCap Holdings N.V. Ordinary Shares,Technology,Diversified Commercial Services
AERC,AeroClean Technologies Inc. Common Stock,Public Utilities,Environmental Services
AERI,Aerie Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AES,The AES Corporation Common Stock,Public Utilities,Electric Utilities: Central
AESC,The AES Corporation Corporate Units,Public Utilities,Electric Utilities: Central
AESE,Allied Esports Entertainment Inc. Common Stock,Consumer Services,Television Services
AEVA,Aeva Technologies Inc. Common Stock,Capital Goods,Auto Parts:O.E.M.
AEY,ADDvantage Technologies Group Inc. Common Stock,Capital Goods,Recreational Products/Toys
AEYE,AudioEye Inc. Common Stock,Technology,EDP Services
AEZS,Aeterna Zentaris Inc. Common Stock,,
AFAC,Arena Fortify Acquisition Corp. Class A Common Stock,Consumer Services,Other Pharmaceuticals
AFACU,Arena Fortify Acquisition Corp. Unit,Consumer Services,Other Pharmaceuticals
AFACW,Arena Fortify Acquisition Corp. Warrant,Consumer Services,Other Pharmaceuticals
AFAQ,AF Acquisition Corp. Class A Common Stock,,
AFAQU,AF Acquisition Corp. Units,,
AFAQW,AF Acquisition Corp. Warrants,,
AFB,AllianceBernstein National Municipal Income Fund Inc,Finance,Trusts Except Educational Religious and Charitable
AFBI,Affinity Bancshares Inc. Common Stock (MD),Finance,Major Banks
AFCG,AFC Gamma Inc. Common Stock,Consumer Services,Real Estate Investment Trusts
AFG,American Financial Group Inc. Common Stock,Finance,Property-Casualty Insurers
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,Finance,Property-Casualty Insurers
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,Finance,Real Estate
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,,
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,,
AFI,Armstrong Flooring Inc. Common Stock,Capital Goods,Building Products
AFIB,Acutus Medical Inc. Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AFL,AFLAC Incorporated Common Stock,Finance,Accident &Health Insurance
AFMD,Affimed N.V.,Health Care,Biotechnology: Pharmaceutical Preparations
AFRM,Affirm Holdings Inc. Class A Common Stock,Technology,EDP Services
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,Finance,Investment Managers
AFTR,AfterNext HealthTech Acquisition Corp. Class A Ordinary Shares,,
AFYA,Afya Limited Class A Common Shares,Consumer Services,Other Consumer Services
AG,First Majestic Silver Corp. Ordinary Shares (Canada),,
AGAC,African Gold Acquisition Corporation Class A Ordinary Shares,Finance,Business Services
AGBA,AGBA Acquisition Limited Ordinary Share,Finance,Business Services
AGBAR,AGBA Acquisition Limited Right,Finance,Business Services
AGBAW,AGBA Acquisition Limited Warrant,Finance,Business Services
AGCB,Altimeter Growth Corp. 2 Class A Ordinary Shares,Finance,Business Services
AGCO,AGCO Corporation Common Stock,Capital Goods,Industrial Machinery/Components
AGD,Aberdeen Global Dynamic Dividend Fund,Finance,Trusts Except Educational Religious and Charitable
AGE,AgeX Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AGEN,Agenus Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGFS,AgroFresh Solutions Inc. Common Stock,,
AGFY,Agrify Corporation Common Stock,Consumer Services,Military/Government/Technical
AGGR,Agile Growth Corp. Class A Ordinary Share,Finance,Business Services
AGGRU,Agile Growth Corp. Units,Finance,Business Services
AGGRW,Agile Growth Corp. Warrant.,Finance,Business Services
AGI,Alamos Gold Inc. Class A Common Shares,,
AGIL,AgileThought Inc. Class A Common Stock,Technology,EDP Services
AGILW,AgileThought Inc. Warrant,Technology,EDP Services
AGIO,Agios Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AGL,agilon health inc. Common Stock,Health Care,Managed Health Care
AGLE,Aeglea BioTherapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AGM,Federal Agricultural Mortgage Corporation Common Stock,Finance,Finance Companies
AGM^C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,,
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,,
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,,
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,,
AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,,
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,Technology,EDP Services
AGNC,AGNC Investment Corp. Common Stock,Consumer Services,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Consumer Services,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,Consumer Services,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,Consumer Services,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,Consumer Services,Real Estate Investment Trusts
AGO,Assured Guaranty Ltd. Common Stock,Finance,Property-Casualty Insurers
AGR,Avangrid Inc. Common Stock,Public Utilities,Electric Utilities: Central
AGRI,AgriFORCE  Growing Systems Ltd. Common Shares,,
AGRIW,AgriFORCE  Growing Systems Ltd. Warrant,,
AGRO,Adecoagro S.A. Common Shares,,Farming/Seeds/Milling
AGRX,Agile Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AGS,PlayAGS Inc. Common Stock,Consumer Services,Recreational Products/Toys
AGTC,Applied Genetic Technologies Corporation Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGTI,Agiliti Inc. Common Stock,Health Care,Managed Health Care
AGX,Argan Inc. Common Stock,Capital Goods,Oilfield Services/Equipment
AGYS,Agilysys Inc. Common Stock (DE),Technology,Computer Software: Prepackaged Software
AHCO,AdaptHealth Corp. Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AHG,Akso Health Group ADS,Finance,Finance: Consumer Services
AHH,Armada Hoffler Properties Inc. Common Stock,Consumer Services,Real Estate Investment Trusts
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,,
AHI,Advanced Human Imaging Limited. American Depositary Shares,,
AHL^C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,,
AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,,
AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,,
AHPA,Avista Public Acquisition Corp. II Class A Ordinary Shares,,
AHPAU,Avista Public Acquisition Corp. II Unit,,
AHPAW,Avista Public Acquisition Corp. II Warrant,,
AHPI,Allied Healthcare Products Inc. Common Stock,Health Care,Industrial Specialties
AHRN,Ahren Acquisition Corp. Class A Ordinary Shares,,
AHRNU,Ahren Acquisition Corp. Unit,,
AHRNW,Ahren Acquisition Corp. Warrants,,
AHT,Ashford Hospitality Trust Inc Common Stock,Consumer Services,Real Estate Investment Trusts
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,,
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,,
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,,
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,,
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,,
AI,C3.ai Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
AIB,AIB Acquisition Corporation Class A Ordinary Shares,,
AIBBR,AIB Acquisition Corporation Right,,
AIBBU,AIB Acquisition Corporation Unit,,
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,Consumer Services,Real Estate Investment Trusts
AIF,Apollo Tactical Income Fund Inc. Common Stock,Finance,Finance Companies
AIG,American International Group Inc. New Common Stock,Finance,Life Insurance
AIG^A,American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock,,
AIH,Aesthetic Medical International Holdings Group Ltd. American Depositary Shares,Health Care,Medical Specialities
AIHS,Senmiao Technology Limited Common Stock,Finance,Finance: Consumer Services
AIKI,AIkido Pharma Inc. Common Stock,Consumer Durables,Specialty Chemicals
AIM,AIM ImmunoTech Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIMC,Altra Industrial Motion Corp. Common Stock,Capital Goods,Industrial Machinery/Components
AIN,Albany International Corporation Common Stock,Basic Industries,Textiles
AINC,Ashford Inc. (Holding Company) Common Stock,Finance,Investment Managers
AINV,Apollo Investment Corporation Common Stock,Finance,Finance/Investors Services
AIO,Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares,Finance,Finance/Investors Services
AIP,Arteris Inc. Common Stock,Technology,Semiconductors
AIR,AAR Corp. Common Stock,Capital Goods,Aerospace
AIRC,Apartment Income REIT Corp. Common Stock,Consumer Services,Real Estate Investment Trusts
AIRG,Airgain Inc. Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment
AIRI,Air Industries Group Common Stock,Capital Goods,Military/Government/Technical
AIRS,AirSculpt Technologies Inc. Common Stock,Health Care,Hospital/Nursing Management
AIRT,Air T Inc. Common Stock,Transportation,Air Freight/Delivery Services
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,Transportation,Air Freight/Delivery Services
AIT,Applied Industrial Technologies Inc. Common Stock,Capital Goods,Industrial Machinery/Components
AIV,Apartment Investment and Management Company Common Stock,Consumer Services,Real Estate Investment Trusts
AIZ,Assurant Inc. Common Stock,Finance,Specialty Insurers
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,Finance,Accident &Health Insurance
AJG,Arthur J. Gallagher & Co. Common Stock,Finance,Specialty Insurers
AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock,Capital Goods,Military/Government/Technical
AJX,Great Ajax Corp. Common Stock,Consumer Services,Real Estate Investment Trusts
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,Consumer Services,Real Estate Investment Trusts
AKA,a.k.a. Brands Holding Corp. Common Stock,Consumer Non-Durables,Department/Specialty Retail Stores
AKAM,Akamai Technologies Inc. Common Stock,Miscellaneous,Business Services
AKAN,Akanda Corp. Common Shares,,
AKBA,Akebia Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AKIC,Sports Ventures Acquisition Corp. Class A Ordinary Shares,Finance,Business Services
AKICU,Sports Ventures Acquisition Corp. Unit,Finance,Business Services
AKICW,Sports Ventures Acquisition Corp. Warrant,Finance,Business Services
AKO/A,Embotelladora Andina S.A.,,
AKO/B,Embotelladora Andina S.A.,,
AKR,Acadia Realty Trust Common Stock,Consumer Services,Real Estate Investment Trusts
AKRO,Akero Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AKTS,Akoustis Technologies Inc. Common Stock,Public Utilities,Telecommunications Equipment
AKTX,Akari Therapeutics plc ADS,Health Care,Biotechnology: Pharmaceutical Preparations
AKU,Akumin Inc. Common Shares,,
AKUS,Akouos Inc. Common Stock,Consumer Durables,Specialty Chemicals
AKYA,Akoya BioSciences Inc. Common Stock,Capital Goods,Medical Specialities
AL,Air Lease Corporation Class A Common Stock,Technology,Diversified Commercial Services
AL^A,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A,,
ALAC,Alberton Acquisition Corporation Ordinary Shares,Finance,Business Services
ALACR,Alberton Acquisition Corporation Rights exp April 26 2021,Basic Industries,Engineering & Construction
ALACW,Alberton Acquisition Corporation Warrant,Finance,Business Services
